date,category,supplier,warehouse,order_status,units_sold,inventory_level,transportation_cost,order_accuracy,lead_time,backorder,cost_of_goods_sold,average_inventory,warehouse_capacity,sku,defect_rate,route,transportation_mode,manufacturing_cost,location,revenue_generated,cost,shipping_cost
14-01-2020,Accessories,Supplier A,Warehouse 1,Fulfilled,302,2124,1103.838324,TRUE,9,FALSE,37820.0524,2048,5037,SKU62,1.874001404,Route C,Road,21.04864273,Mumbai,2452.14,1209.26,120.31
15-11-2020,Furniture,Supplier D,Warehouse 2,Fulfilled,741,1972,13163.00766,TRUE,11,FALSE,54396.17369,1213,9216,SKU36,3.805533379,Route C,Air,45.53136424,Delhi,639.07,377.2,35.04
16-04-2020,Furniture,Supplier C,Warehouse 2,Fulfilled,940,454,9872.294126,TRUE,17,FALSE,24217.45462,1160.5,7699,SKU21,0.018607568,Route C,Road,61.73572895,Chennai,3829.35,1835.26,144.69
17-04-2020,Accessories,Supplier D,Warehouse 2,Canceled,589,1867,4547.589932,TRUE,3,FALSE,38919.08005,3364.5,9271,SKU29,3.878098937,Route B,Sea,39.29287559,Kolkata,4631.17,2133.17,285.79
18-04-2020,Accessories,Supplier C,Warehouse 2,Fulfilled,964,4862,11994.04231,TRUE,21,FALSE,59204.50683,3063,5828,SKU88,0.722204402,Route A,Road,68.18491906,Mumbai,256.97,202.27,20.51
19-04-2020,Electronics,Supplier A,Warehouse 1,Canceled,338,1264,6220.991375,FALSE,15,FALSE,55736.88744,1104.5,8292,SKU68,1.983467872,Route A,Sea,97.11358156,Bangalore,491.68,267.56,8.37
20-04-2020,Furniture,Supplier A,Warehouse 2,Pending,748,945,14023.27556,TRUE,7,FALSE,139260.8377,929,5073,SKU22,2.591275473,Route C,Road,50.12083961,Kolkata,2054.61,1155.39,41.46
21-04-2020,Accessories,Supplier C,Warehouse 1,Canceled,909,913,1556.256814,TRUE,25,FALSE,35640.52177,2204,9860,SKU52,2.122471619,Route C,Road,9.166849149,Mumbai,1317.85,559.92,59.91
22-04-2020,Clothing,Supplier C,Warehouse 3,Fulfilled,781,3495,4933.463849,TRUE,8,FALSE,73883.09071,3481,8375,SKU63,3.63284329,Route A,Air,20.07500398,Bangalore,1777.92,997.09,73.08
23-04-2020,Clothing,Supplier A,Warehouse 1,Fulfilled,488,3467,12041.4938,TRUE,21,FALSE,52012.68962,4067.5,8594,SKU93,4.165781795,Route A,Road,35.63365234,Chennai,770.44,399.98,36.88
24-04-2020,Clothing,Supplier D,Warehouse 3,Fulfilled,125,4668,6126.847877,TRUE,21,FALSE,2726.657395,3947.5,7684,SKU78,4.096881332,Route C,Road,71.12651472,Mumbai,4356.39,2939.33,37.82
25-04-2020,Furniture,Supplier A,Warehouse 1,Fulfilled,899,3227,12221.18843,TRUE,4,FALSE,127779.9529,2414.5,9035,SKU48,1.698112541,Route B,Road,23.12636358,Mumbai,3935.49,1937.94,139
26-04-2020,Accessories,Supplier D,Warehouse 1,Fulfilled,324,1602,5705.511137,TRUE,27,FALSE,63107.38981,1005.5,8116,SKU28,0.815757079,Route A,Road,59.42938181,Mumbai,1931.46,1544.71,94.11
27-04-2020,Clothing,Supplier A,Warehouse 3,Fulfilled,551,409,8615.902821,TRUE,9,FALSE,57150.95856,598,6886,SKU56,1.173755495,Route B,Road,12.83628457,Mumbai,5581.66,4567.75,272.88
28-04-2020,Clothing,Supplier C,Warehouse 3,Fulfilled,489,787,11076.52401,TRUE,8,FALSE,66378.00252,1039,9727,SKU57,2.51117483,Route A,Sea,67.77962299,Delhi,2885.66,1283.9,156.69
29-04-2020,Electronics,Supplier A,Warehouse 2,Pending,712,1291,1450.896553,TRUE,16,TRUE,24683.75549,1881,5119,SKU55,4.548919659,Route B,Road,30.32354526,Delhi,765.64,343.26,45.18
30-04-2020,Clothing,Supplier D,Warehouse 2,Fulfilled,775,2471,2671.768409,TRUE,10,FALSE,23900.74084,3462.5,8953,SKU98,2.908122169,Route A,Rail,5.604690864,Chennai,2614.3,1181.39,138.86
01-05-2020,Clothing,Supplier D,Warehouse 2,Fulfilled,936,4454,8057.019011,TRUE,26,TRUE,108960.3785,2754,7941,SKU41,0.045302262,Route A,Rail,95.33206455,Chennai,693.06,470.45,44.54
02-05-2020,Electronics,Supplier A,Warehouse 2,Fulfilled,988,1054,8990.638756,TRUE,7,FALSE,130014.8053,652.5,8128,SKU29,3.878098937,Route B,Road,39.29287559,Kolkata,4352.26,1979.78,225.7
03-05-2020,Clothing,Supplier C,Warehouse 3,Canceled,612,251,6719.324913,TRUE,6,FALSE,40211.04778,1969,9397,SKU73,4.620546065,Route A,Air,46.8702388,Chennai,1719.99,1347.74,77.94
04-05-2020,Accessories,Supplier A,Warehouse 3,Fulfilled,754,3687,6426.784561,TRUE,5,FALSE,54971.19278,3672,8356,SKU35,0.541154098,Route C,Rail,58.00478704,Delhi,1502.88,1111.26,75.84
05-05-2020,Electronics,Supplier D,Warehouse 2,Fulfilled,282,3657,6851.316047,TRUE,21,FALSE,46598.2109,3170,6195,SKU24,3.691310293,Route A,Rail,40.3823597,Bangalore,915.13,703.66,11.52
